invoice_date,invoice_reference,invoice_category,invoice_payment_method,invoice_amount,username
02/07/2025,INV/2025/04195,casa,MASTERCARD,2087.34,rita
02/07/2025,INV/2025/02240,tecnologia,PT50444555666,5416.55,maria
02/07/2026,INV/2026/04104,saude,PT50987654321,1213.87,pedro
02/07/2026,INV/2026/03695,cars,4553363636,469393.72,goncalo
02/07/2026,INV/2026/02821,tecnologia,PT50123456789,3739.25,miguel
02/08/2023,INV/2023/00615,cars,PT50987654321,490732.0,rita
02/08/2023,INV/2023/04056,lazer,MASTERCARD,988.32,rita
02/08/2023,INV/2023/01688,tecnologia,PAYPAL,3959.34,rita
02/08/2023,INV/2023/02739,saude,PT50123456789,1264.44,joao
02/08/2024,INV/2024/01587,cars,VISA,145255.58,maria
02/08/2024,INV/2024/03119,educacao,MBWAY,2249.35,maria
02/08/2024,INV/2024/01508,viagens,PAYPAL,5832.11,rita
02/08/2024,INV/2024/00267,educacao,MBWAY,1750.65,joao
02/08/2025,INV/2025/02261,cars,PT50444555666,146762.76,rita
02/08/2025,INV/2025/03511,educacao,PAYPAL,2314.95,pedro
02/08/2025,INV/2025/03300,lazer,MASTERCARD,41.8,sofia
02/08/2026,INV/2026/01371,alimentacao,PAYPAL,203.73,goncalo
02/08/2026,INV/2026/04038,viagens,MBWAY,2376.2,rita
02/08/2026,INV/2026/04699,casa,PAYPAL,6606.84,miguel
02/08/2026,INV/2026/02622,viagens,MBWAY,7380.55,goncalo
02/08/2026,INV/2026/02104,saude,PT50987654321,1191.22,maria
02/08/2026,INV/2026/01699,viagens,PAYPAL,3814.89,sofia
02/09/2023,INV/2023/04430,lazer,PT50123456789,410.18,rita
02/09/2023,INV/2023/04632,lazer,MBWAY,125.97,pedro
02/09/2023,INV/2023/04450,lazer,VISA,163.99,miguel
02/09/2023,INV/2023/02199,tecnologia,4553363636,329.27,maria
02/09/2023,INV/2023/03661,lazer,MASTERCARD,166.46,maria
02/09/2023,INV/2023/03936,casa,PT50987654321,1895.61,sofia
02/09/2024,INV/2024/03849,tecnologia,4553363636,3351.65,miguel
02/09/2024,INV/2024/00647,educacao,PT50987654321,2472.05,miguel
02/09/2025,INV/2025/04366,lazer,MASTERCARD,369.73,joao
02/09/2025,INV/2025/04413,educacao,4553363636,1727.5,pedro
02/09/2025,INV/2025/02730,educacao,4553363636,908.84,ana
02/09/2025,INV/2025/02468,alimentacao,PT50987654321,213.99,miguel
02/09/2025,INV/2025/04895,educacao,MBWAY,36817.98,maria
02/09/2026,INV/2026/04395,educacao,PT50123456789,346.57,rita
02/09/2026,INV/2026/03744,cars,PT50123456789,150590.95,goncalo
02/09/2026,INV/2026/01971,lazer,4553363636,580.87,pedro
02/10/2023,INV/2023/02023,saude,MBWAY,1767.59,joao
02/10/2023,INV/2023/04329,educacao,PAYPAL,910.54,miguel
02/10/2023,INV/2023/02997,lazer,MASTERCARD,193.43,joao
02/10/2023,INV/2023/03719,educacao,MASTERCARD,1316.86,pedro
02/10/2023,INV/2023/04099,casa,PT50123456789,8156.74,joao
02/10/2024,INV/2024/03998,saude,VISA,33.63,sofia
02/10/2024,INV/2024/04032,alimentacao,MBWAY,56.92,maria
02/10/2024,INV/2024/03664,alimentacao,PT50123456789,296.47,rita
02/10/2024,INV/2024/04103,saude,4553363636,1837.75,maria
02/10/2024,INV/2024/04814,casa,PT50123456789,1416.42,joao
02/10/2024,INV/2024/01602,alimentacao,PT50987654321,129.68,miguel
02/10/2025,INV/2025/02311,casa,PT50987654321,9027.65,joao
02/10/2025,INV/2025/01925,alimentacao,MASTERCARD,120.09,maria
02/10/2025,INV/2025/02034,lazer,PT50444555666,620.51,ana
02/10/2025,INV/2025/04171,saude,4553363636,1908.72,sofia
02/10/2025,INV/2025/03724,cars,MASTERCARD,297230.69,sofia
02/10/2025,INV/2025/02776,educacao,PT50987654321,1609.15,joao
02/10/2026,INV/2026/03527,viagens,VISA,2074.79,ana
02/10/2026,INV/2026/01334,tecnologia,4553363636,3523.76,goncalo
02/10/2026,INV/2026/04076,cars,4553363636,24831.86,goncalo
02/10/2026,INV/2026/01299,saude,4553363636,345.5,rita
02/10/2026,INV/2026/02968,saude,4553363636,268.95,goncalo
02/11/2023,INV/2023/04529,cars,PAYPAL,251976.77,goncalo
02/11/2023,INV/2023/00736,lazer,MBWAY,952.77,sofia
02/11/2023,INV/2023/02956,lazer,VISA,797.69,maria
02/11/2023,INV/2023/02766,tecnologia,MBWAY,4876.57,miguel
02/11/2023,INV/2023/01750,casa,PAYPAL,8483.08,pedro
02/11/2024,INV/2024/01314,viagens,4553363636,97536.67,ana
02/11/2024,INV/2024/00596,viagens,MASTERCARD,303.21,joao
02/11/2025,INV/2025/03096,educacao,VISA,1410.55,goncalo
02/11/2025,INV/2025/00509,casa,PT50987654321,3378.31,ana
02/11/2025,INV/2025/00734,educacao,PT50123456789,922.13,sofia
02/11/2025,INV/2025/01169,viagens,MBWAY,6094.88,goncalo
02/11/2025,INV/2025/01942,alimentacao,PAYPAL,139.36,maria
02/11/2025,INV/2025/00095,viagens,PT50987654321,327.37,sofia
02/11/2026,INV/2026/03947,saude,PT50444555666,474.49,miguel
02/11/2026,INV/2026/01290,lazer,PAYPAL,340.23,sofia
02/12/2023,INV/2023/04359,educacao,PT50444555666,931.57,rita
02/12/2023,INV/2023/00359,saude,PT50123456789,486.88,pedro
02/12/2023,INV/2023/04440,educacao,MBWAY,1169.05,miguel
02/12/2023,INV/2023/02378,viagens,4553363636,7333.22,rita
02/12/2023,INV/2023/02983,educacao,4553363636,1536.72,goncalo
02/12/2024,INV/2024/01987,alimentacao,4553363636,282.67,ana
02/12/2025,INV/2025/02999,alimentacao,MASTERCARD,93.07,goncalo
02/12/2026,INV/2026/03473,viagens,MASTERCARD,2102.29,ana
02/12/2026,INV/2026/04756,casa,4553363636,2776.69,goncalo
02/12/2026,INV/2026/03479,lazer,PAYPAL,901.11,sofia
02/12/2026,INV/2026/00099,cars,MBWAY,128261.95,ana
02/12/2026,INV/2026/01518,tecnologia,PT50444555666,4281.4,ana
02/12/2026,INV/2026/03828,educacao,PT50444555666,484.4,goncalo
03/01/2023,INV/2023/00812,viagens,PT50987654321,5130.55,pedro
03/01/2024,INV/2024/01501,lazer,MASTERCARD,439.3,miguel
03/01/2024,INV/2024/01432,casa,VISA,9323.92,maria
03/01/2025,INV/2025/03925,cars,PT50444555666,126527.11,joao
03/01/2025,INV/2025/03848,educacao,PT50987654321,2032.06,maria
03/01/2025,INV/2025/00224,casa,4553363636,4035.33,joao
03/01/2025,INV/2025/03879,educacao,MASTERCARD,514.15,miguel
03/01/2025,INV/2025/02782,educacao,MASTERCARD,2203.17,sofia
03/01/2025,INV/2025/04687,saude,4553363636,674.01,miguel
03/01/2025,INV/2025/04668,educacao,VISA,628.2,maria
03/01/2025,INV/2025/01889,lazer,PT50123456789,58.5,joao
03/01/2026,INV/2026/01539,alimentacao,PT50444555666,22.54,ana
03/02/2023,INV/2023/03055,cars,MBWAY,100113.42,ana
03/02/2023,INV/2023/03405,viagens,MBWAY,3111.46,maria
03/02/2023,INV/2023/04790,cars,MBWAY,123035.6,maria
03/02/2023,INV/2023/04506,casa,PT50444555666,288863.18,sofia
03/02/2024,INV/2024/03260,alimentacao,VISA,236.15,maria
03/02/2024,INV/2024/03720,viagens,MBWAY,5114.93,maria
03/02/2024,INV/2024/02922,tecnologia,MASTERCARD,4245.54,miguel
03/02/2024,INV/2024/04206,alimentacao,4553363636,266.8,joao
03/02/2025,INV/2025/04642,saude,PT50444555666,1889.78,sofia
03/02/2025,INV/2025/00334,educacao,PAYPAL,1040.13,rita
03/02/2025,INV/2025/03269,saude,VISA,904.1,joao
03/02/2026,INV/2026/02296,viagens,MBWAY,3048.98,ana
03/03/2023,INV/2023/02037,cars,VISA,96009.01,joao
03/03/2023,INV/2023/00474,viagens,VISA,5253.96,joao
03/03/2024,INV/2024/00221,lazer,VISA,876.91,rita
03/03/2025,INV/2025/01102,lazer,4553363636,18704.77,joao
03/03/2025,INV/2025/04744,cars,MASTERCARD,271422.32,sofia
03/03/2026,INV/2026/04786,saude,MBWAY,66.93,ana
03/03/2026,INV/2026/01155,educacao,PT50987654321,315.45,pedro
03/04/2023,INV/2023/03132,viagens,PAYPAL,4135.58,maria
03/04/2023,INV/2023/01209,tecnologia,PT50123456789,4251.5,joao
03/04/2023,INV/2023/01202,viagens,MBWAY,4638.07,goncalo
03/04/2023,INV/2023/02233,cars,MBWAY,134228.38,pedro
03/04/2024,INV/2024/03798,saude,PT50123456789,1293.48,maria
03/04/2024,INV/2024/03689,viagens,MBWAY,2572.99,pedro
03/04/2024,INV/2024/00669,saude,4553363636,636.4,goncalo
03/04/2024,INV/2024/04919,casa,PT50444555666,5345.44,joao
03/04/2024,INV/2024/00243,viagens,VISA,4147.79,joao
03/04/2024,INV/2024/03425,tecnologia,MBWAY,792.21,ana
03/04/2024,INV/2024/04936,saude,VISA,651.93,maria
03/04/2025,INV/2025/00247,casa,PT50444555666,3096.57,sofia
03/04/2025,INV/2025/04238,cars,4553363636,262713.07,rita
03/04/2025,INV/2025/04214,tecnologia,PAYPAL,2186.38,rita
03/04/2025,INV/2025/03547,alimentacao,4553363636,265.21,miguel
03/04/2025,INV/2025/01752,educacao,PT50444555666,1240.39,pedro
03/04/2026,INV/2026/01418,lazer,4553363636,691.0,pedro
03/04/2026,INV/2026/01358,cars,MBWAY,434121.69,pedro
03/04/2026,INV/2026/04156,cars,PT50444555666,237221.79,pedro
03/04/2026,INV/2026/04496,cars,PT50123456789,139482.66,pedro
03/05/2024,INV/2024/01836,saude,MBWAY,896.25,sofia
03/05/2025,INV/2025/00720,cars,VISA,369196.35,pedro
03/05/2026,INV/2026/01753,lazer,PT50987654321,429.41,sofia
03/06/2023,INV/2023/03426,casa,PT50987654321,1016.33,joao
03/06/2023,INV/2023/02363,cars,MBWAY,111826.03,sofia
03/06/2023,INV/2023/02190,lazer,MBWAY,111.39,ana
03/06/2024,INV/2024/01636,casa,VISA,298.76,ana
03/06/2025,INV/2025/00122,lazer,VISA,427.86,ana
03/06/2025,INV/2025/01608,lazer,MASTERCARD,833.88,joao
03/06/2026,INV/2026/01191,educacao,PT50123456789,337.79,joao
03/06/2026,INV/2026/02483,educacao,MASTERCARD,627.47,ana
03/07/2023,INV/2023/00818,educacao,4553363636,326.71,pedro
03/07/2023,INV/2023/01884,saude,VISA,516.26,ana
03/07/2023,INV/2023/04062,educacao,PAYPAL,2266.12,pedro
